farmer_id,barangay,elevation_masl,soil_pH,annual_rainfall_mm,mean_temperature_C,coffee_species,planting_system,farm_ownership,rsbsa_registered,years_in_farming,bearing_trees,non_bearing_trees,annual_yield_kg,processing_method,moisture_content_pct,defect_count_per_300g,selective_picking_practiced,farm_records_maintained,sales_records_maintained,cooperative_member,geographic_compliance,traditional_method_compliance,quality_linkage_documented,gi_ready
F0001,San Jose,432.6,6.05,1315.7,23.0,Robusta,Monocrop,Shared,No,8,310,64,366,Honey,10.25,0,Yes,No,No,Yes,No,No,No,0
F0002,Pinagkawitan,361.5,5.85,3115.6,23.5,Excelsa,Agroforestry,Owned,Yes,9,86,27,1697,Honey,10.94,0,No,No,Yes,Yes,Yes,Yes,No,1
F0003,Calamias,279.4,5.26,3085.4,21.2,Liberica,Monocrop,Shared,Yes,26,18,50,1558,Washed,12.82,9,No,Yes,Yes,Yes,No,Yes,Yes,1
F0004,Talisay,538.6,6.77,2770.4,23.2,Liberica,Monocrop,Owned,Yes,2,33,56,939,Washed,14.29,17,No,Yes,No,No,No,Yes,Yes,1
F0005,Barangay IV,296.2,5.9,3182.7,25.0,Liberica,Agroforestry,Owned,No,16,24,14,305,Natural,12.2,1,Yes,No,No,No,Yes,Yes,Yes,1
F0006,Latag,508.3,5.39,2289.0,25.8,Liberica,Agroforestry,Leased,Yes,31,173,50,921,Washed,13.55,7,Yes,Yes,No,Yes,No,No,Yes,1
F0007,San Jose,319.6,5.74,3125.5,25.8,Liberica,Agroforestry,Owned,Yes,6,22,32,42,Natural,13.58,21,No,Yes,Yes,No,Yes,Yes,No,1
F0008,Inosluban,288.5,5.83,1351.2,24.2,Robusta,Agroforestry,Owned,No,21,356,101,1056,Natural,12.99,21,Yes,No,Yes,No,Yes,Yes,Yes,0
F0009,Lumbang,331.3,6.66,1931.4,27.1,Robusta,Monocrop,Leased,Yes,26,181,47,1007,Washed,10.48,25,No,Yes,Yes,No,Yes,Yes,Yes,1
F0010,Barangay VII,250.7,6.47,1650.8,26.4,Liberica,Agroforestry,Owned,Yes,19,366,30,1277,Washed,14.2,25,Yes,Yes,Yes,Yes,No,Yes,No,1
F0011,Barangay VII,473.8,6.54,1591.7,25.8,Liberica,Monocrop,Leased,Yes,28,336,59,1003,Washed,11.62,8,Yes,Yes,No,No,No,No,Yes,1
F0012,Mabini,351.4,5.02,1481.6,19.5,Arabica,Monocrop,Shared,No,8,209,118,204,Washed,9.27,20,No,Yes,Yes,No,Yes,Yes,No,0
F0013,San Benito,216.1,5.83,2444.8,19.1,Liberica,Agroforestry,Owned,Yes,14,387,52,1438,Washed,10.47,30,No,Yes,Yes,Yes,Yes,No,No,1
F0014,San Lucas,549.8,5.96,2762.6,20.9,Liberica,Monocrop,Owned,No,24,85,33,1655,Natural,13.59,42,No,Yes,Yes,Yes,No,No,Yes,1
F0015,Mabini,291.9,5.04,2356.6,25.0,Liberica,Monocrop,Owned,Yes,44,173,31,270,Washed,9.41,5,Yes,Yes,Yes,No,Yes,Yes,No,1
F0016,Balintawak,371.8,5.52,1493.9,22.7,Liberica,Monocrop,Shared,Yes,37,381,22,576,Honey,9.88,13,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0017,Lodlod,553.2,6.52,2822.2,22.6,Liberica,Monocrop,Leased,No,26,70,108,43,Washed,13.17,32,Yes,Yes,Yes,No,Yes,No,Yes,1
F0018,Bagong Pook,412.1,5.27,2471.9,27.0,Excelsa,Monocrop,Shared,Yes,31,254,64,1248,Natural,14.36,6,Yes,Yes,Yes,No,No,No,Yes,0
F0019,Mabini,158.4,6.07,1976.3,27.1,Liberica,Agroforestry,Owned,Yes,32,391,78,1450,Natural,12.8,23,No,No,Yes,No,No,Yes,Yes,1
F0020,Tambo,569.9,5.43,2548.3,27.2,Liberica,Monocrop,Leased,Yes,41,164,110,1484,Honey,10.33,8,Yes,Yes,No,Yes,No,Yes,Yes,1
F0021,Pinagtongulan,413.9,5.02,1719.8,21.8,Robusta,Agroforestry,Owned,Yes,2,266,73,1359,Natural,9.32,10,No,No,Yes,Yes,Yes,Yes,Yes,1
F0022,San Francisco,267.5,5.48,1890.4,25.2,Liberica,Monocrop,Owned,Yes,25,253,78,1387,Washed,12.69,22,Yes,No,Yes,No,No,Yes,No,0
F0023,Bagong Pook,169.6,6.95,3035.0,21.4,Excelsa,Monocrop,Shared,Yes,44,171,118,754,Honey,9.28,1,No,Yes,No,Yes,Yes,Yes,No,0
F0024,Latag,497.0,6.6,1781.0,20.7,Excelsa,Agroforestry,Owned,Yes,2,77,25,1463,Natural,12.68,14,Yes,No,No,Yes,No,Yes,No,0
F0025,Quezon,410.0,6.92,2140.0,20.7,Liberica,Agroforestry,Shared,No,42,353,28,32,Washed,10.35,34,Yes,Yes,No,No,Yes,Yes,No,1
F0026,Barangay VIII,366.7,5.98,2980.3,22.1,Robusta,Agroforestry,Owned,Yes,1,286,106,720,Natural,14.43,35,No,No,No,No,Yes,Yes,Yes,0
F0027,Lodlod,546.9,5.22,2615.4,22.9,Liberica,Agroforestry,Leased,No,36,170,7,1605,Natural,11.85,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0028,Tambo,494.3,6.1,1324.4,26.5,Arabica,Agroforestry,Owned,Yes,12,268,108,1505,Washed,10.34,38,No,No,No,Yes,Yes,No,Yes,1
F0029,Malagonlong,175.8,5.91,1494.6,20.1,Liberica,Monocrop,Owned,Yes,9,316,99,1729,Washed,14.12,43,No,Yes,Yes,Yes,No,Yes,Yes,1
F0030,Mojon,255.9,6.69,1215.7,25.6,Arabica,Monocrop,Owned,Yes,36,344,66,776,Natural,10.52,3,Yes,No,Yes,Yes,No,No,No,0
F0031,Santol,224.2,5.2,2461.8,23.8,Robusta,Monocrop,Owned,Yes,41,104,109,798,Natural,10.84,9,Yes,Yes,No,No,Yes,Yes,Yes,1
F0032,Pangao,472.0,5.98,2095.3,21.6,Liberica,Agroforestry,Owned,Yes,28,255,105,901,Washed,14.01,5,Yes,No,Yes,Yes,No,No,Yes,1
F0033,Cumba,116.8,5.3,1468.5,23.4,Liberica,Monocrop,Leased,No,38,230,6,524,Washed,10.85,29,Yes,Yes,No,No,Yes,Yes,Yes,1
F0034,Calamias,384.9,5.65,3115.9,21.7,Arabica,Monocrop,Owned,No,33,132,70,446,Washed,11.46,34,Yes,No,No,No,No,Yes,Yes,0
F0035,Tambo,481.2,6.47,2259.3,24.4,Excelsa,Agroforestry,Owned,No,42,196,107,1444,Natural,11.09,42,Yes,Yes,Yes,No,No,Yes,Yes,1
F0036,Balintawak,538.4,5.95,1683.8,22.9,Liberica,Agroforestry,Owned,Yes,22,271,117,1426,Natural,9.7,9,Yes,Yes,No,Yes,No,Yes,Yes,1
F0037,San Carlos,271.0,5.75,2201.2,20.5,Robusta,Agroforestry,Owned,No,25,282,46,657,Washed,9.23,31,Yes,Yes,Yes,Yes,Yes,No,No,1
